,word,count
0,",",303
1,کامپیوتر,269
2,کیس,160
3,وان,147
4,in,135
5,ایسوس,135
6,آل,131
7,لنوو,115
8,معرفی,105
9,-,96
10,85,93
11,All,92
12,جدید,91
13,88,88
14,کرد,87
15,قیمت,85
16,one,84
17,//bit,77
18,رونمایی,73
19,دل,71
20,87,68
21,پی,68
22,MSI,66
23,//fb,66
24,One,65
25,#all_in_one,64
26,/,61
27,#laptop,60
28,#dell,59
29,#monitor,59
30,#desktop,59
31,all,59
32,مدل,58
33,%d9%,58
34,#vostro,57
35,اچ,56
36,?,54
37,شرکت,54
38,لپ,50
39,اینچی,50
40,تاپ,49
41,کاره,48
42,خرید,47
43,021,46
44,#deliran,46
45,#دل,46
46,سیستم,46
47,کامپیوترهای,46
48,all-in-one,46
49,جهت,44
50,#لپتاپ,44
51,88800247,43
52,86,43
53,#latitude,42
54,ET,42
55,//goo,41
56,موجودی,40
57,#دلیران,37
58,فروش,37
59,//t,35
60,"#inspiron,",35
61,A,35
62,محصولات,34
63,Dell,33
64,مانیتور,33
65,مشخصات,32
66,رایانه,32
67,پردازنده,31
68,All-in-One,30
69,تماس,30
70,27,30
71,me/DelliranCo,29
72,msi,28
73,حاصل,28
74,اینتل,28
75,محصول,27
76,فرمائید,26
77,C,26
78,مجهز,26
79,سری,25
80,آی,24
81,بررسی,24
82,لطفا,24
83,ای,23
84,|,23
85,رومیزی,23
86,تبلت,22
87,%d9%be%db%8c%d9%,22
88,بازی,22
89,…,22
90,//instagram,22
91,وارد,21
92,ال,21
93,بازار,21
94,کار,20
95,اس,20
96,In,20
97,صفحه,20
98,#کامپیوتر,20
99,مخصوص,20
100,-%d9%,19
101,اینسپایرون,19
102,84,19
103,50,19
104,مشاهده,18
105,دوربین,18
106,ir/,18
107,utm_source=dlvr,18
108,//ift,18
109,نمایندگی,18
110,ویندوز,17
111,کارت,17
112,سه,17
113,لپ‌تاپ,17
114,ir/%d9%,17
115,%d8%aa%d8%b1-%d9%,17
116,it&utm_medium=twitter…,17
117,dell,17
118,اولین,17
119,2702,17
120,ایران,16
121,گرافیک,16
122,اپل,16
123,سی,16
124,%d8%b4%d8%ae%d8%b5%d8%a7%d8%aa-%d9%,16
125,82,16
126,Lenovo,16
127,لینک,15
128,24,15
129,یکی,15
