Date,Code
2022/3/17 16:00:00,C - 1
2022/3/20 23:00:00,E - 1
2022/3/21 08:00:00,A - 2
2022/3/21 10:00:00,C - 3
2022/3/21 10:00:00,C - 4
2022/3/21 11:00:00,E - 4
2022/3/21 21:00:00,E - 4
2022/3/21 22:00:00,C - 4
2022/3/22 11:00:00,A - 4
2022/3/22 11:00:00,C - 2
2022/3/22 21:00:00,E - 3
2022/3/22 22:00:00,A - 3
2022/3/22 22:00:00,C - 3
2022/3/23 11:00:00,E - 3
2022/3/23 11:00:00,C - 4
2022/3/23 14:00:00,A - 3
2022/3/23 15:00:00,A - 3
2022/3/23 21:00:00,E - 4
2022/3/23 22:00:00,C - 2
2022/3/24 09:00:00,C - 5
2022/3/24 11:00:00,E - 5
2022/3/24 11:00:00,C - 6
2022/3/24 15:00:00,A - 7
2022/3/24 22:00:00,A - 8
2022/3/24 22:00:00,C - 1
2022/3/25 09:00:00,C - 9
2022/3/25 15:00:00,E - 6
2022/3/25 15:00:00,C - 5
2022/3/25 21:00:00,E - 8
2022/3/25 22:00:00,C - 8
2022/3/26 14:00:00,A - 7
2022/3/26 15:00:00,A - 5
2022/3/26 20:00:00,C - 1
2022/3/26 21:00:00,E - 5
2022/3/26 22:00:00,A - 1
2022/3/27 14:00:00,C - 5
2022/3/27 22:00:00,A - 1
2022/3/27 22:00:00,C - 8
2022/3/27 22:00:00,A - 8
2022/3/28 11:00:00,E - 6
2022/3/28 11:00:00,C - 9
2022/3/28 14:00:00,C - 6
2022/3/28 21:00:00,E - 8
2022/3/28 22:00:00,A - 8
2022/3/28 22:00:00,C - 1
2022/3/28 23:00:00,C - 8
2022/3/29 14:00:00,C - 5
2022/3/29 22:00:00,A - 1
2022/3/30 11:00:00,C - 6
2022/3/30 20:00:00,C - 1
2022/3/30 22:00:00,C - 8
2022/3/31 14:00:00,C - 9
2022/3/31 15:00:00,A - 9
2022/3/31 22:00:00,A - 1
2022/3/31 22:00:00,C - 1
2022/3/31 23:00:00,C - 8
2022/4/1 11:00:00,C - 5
2022/4/1 11:00:00,E - 5
2022/4/1 14:00:00,A - 7
2022/4/1 15:00:00,A - 5
2022/4/2 11:00:00,E - 5
2022/4/2 15:00:00,A - 6
2022/4/3 20:00:00,C - 1
2022/4/6 20:00:00,C - 8
2022/4/9 20:00:00,C - 8
2022/4/10 21:00:00,B - 1
2022/4/12 20:00:00,C - 1
2022/4/13 21:00:00,B - 8
2022/4/15 20:00:00,C - 1
2022/4/16 21:00:00,B - 1
2022/4/17 20:00:00,C - 8
2022/4/19 00:00:00,C - 1
2022/4/26 00:00:00,C - 1
2022/4/26 08:00:00,A - 7
2022/4/26 08:00:00,A - 8
2022/4/26 09:00:00,C - 7
2022/4/26 09:00:00,C - 8
2022/4/26 09:00:00,B - 1
2022/4/26 18:00:00,C - 1
2022/4/27 00:00:00,C - 1
2022/4/27 02:00:00,A - 7
2022/4/27 07:00:00,A - 7
2022/4/27 08:00:00,A - 7
2022/4/27 09:00:00,C - 7
2022/4/27 09:00:00,A - 1
2022/4/27 09:00:00,B - 8
2022/4/27 09:00:00,C - 1
2022/4/27 14:00:00,A - 8
2022/4/27 16:00:00,C - 1
2022/4/27 18:00:00,C - 8
2022/4/28 08:00:00,A - 7
2022/4/28 08:00:00,A - 8
2022/4/28 09:00:00,C - 7
2022/4/28 09:00:00,B - 8
2022/4/28 09:00:00,C - 1
2022/4/28 11:00:00,E - 8
2022/4/28 18:00:00,C - 1
2022/4/29 08:00:00,C - 1
2022/4/29 18:00:00,C - 1
2022/4/30 02:00:00,A - 7
2022/4/30 08:00:00,A - 7
2022/4/30 08:00:00,C - 7
2022/4/30 08:00:00,A - 1
2022/4/30 09:00:00,B - 8
2022/4/30 10:00:00,C - 1
2022/4/30 11:00:00,E - 8
2022/4/30 11:00:00,A - 1
2022/4/30 18:00:00,C - 1
2022/5/1 08:00:00,A - 7
2022/5/1 08:00:00,A - 8
2022/5/1 09:00:00,C - 1
2022/5/1 09:00:00,B - 8
2022/5/1 11:00:00,A - 1
2022/5/1 11:00:00,C - 8
2022/5/2 08:00:00,A - 7
2022/5/2 09:00:00,B - 1
2022/5/2 10:00:00,C - 8
2022/5/2 16:00:00,C - 8
2022/5/2 17:00:00,E - 1
2022/5/3 00:00:00,C - 1
2022/5/3 06:00:00,E - 1
2022/5/3 09:00:00,C - 8
2022/5/3 10:00:00,B - 1
2022/5/4 00:00:00,C - 1
2022/5/4 23:00:00,C - 1
2022/5/11 00:00:00,C - 1
2022/5/11 23:00:00,C - 1
2022/5/23 07:00:00,C - 10
2022/5/23 08:00:00,A - 11
2022/5/23 08:00:00,A - 10
2022/5/23 09:00:00,C - 11
2022/5/23 10:00:00,B - 10
2022/5/23 10:00:00,C - 11
2022/5/23 11:00:00,D - 10
2022/5/23 11:00:00,E - 12
2022/5/23 11:00:00,A - 11
2022/5/23 11:00:00,C - 10
2022/5/23 14:00:00,A - 10
2022/5/23 14:00:00,C - 11
2022/5/23 15:00:00,A - 11
2022/5/23 16:00:00,B - 10
2022/5/23 16:00:00,C - 10
2022/5/23 17:00:00,E - 13
2022/5/23 20:00:00,B - 12
2022/5/23 21:00:00,C - 13
2022/5/23 22:00:00,B - 12
2022/5/23 22:00:00,A - 13
2022/5/23 22:00:00,C - 11
2022/5/23 23:00:00,E - 12
2022/5/24 08:00:00,C - 10
2022/5/24 08:00:00,A - 10
2022/5/24 08:00:00,A - 11
2022/5/24 09:00:00,C - 11
2022/5/24 10:00:00,B - 10
2022/5/24 10:00:00,C - 10
2022/5/24 11:00:00,D - 11
2022/5/24 11:00:00,E - 13
2022/5/24 11:00:00,A - 10
2022/5/24 11:00:00,C - 11
2022/5/24 12:00:00,C - 10
2022/5/24 14:00:00,A - 11
2022/5/24 15:00:00,C - 10
2022/5/24 15:00:00,A - 11
2022/5/24 16:00:00,C - 11
2022/5/24 16:00:00,B - 10
2022/5/24 17:00:00,E - 12
2022/5/24 18:00:00,C - 11
2022/5/24 20:00:00,B - 13
2022/5/24 22:00:00,A - 12
2022/5/24 22:00:00,C - 11
2022/5/24 23:00:00,E - 13
2022/5/25 08:00:00,C - 11
