Source,Target,Weight
گریس_نشدن_(عدم_چسبندگی),سرویسکار_توصیه_شده,4
گریس_نشدن_(عدم_چسبندگی),اعتماد_به_سرویسکار,3
سرویسکار_توصیه_شده,گریس_نشدن_(عدم_چسبندگی),7
سرویسکار_توصیه_شده,اعتماد_به_سرویسکار,11
برند_ایرانی,برند_وارداتی,29
برند_ایرانی,اعتماد_به_سرویسکار,5
برند_ایرانی,اصالت_روغن_موتور,24
برند_وارداتی,اعتماد_به_سرویسکار,1
برند_وارداتی,اصالت_روغن_موتور,16
اعتماد_به_سرویسکار,اصالت_روغن_موتور,4
گریس_نشدن_(عدم_چسبندگی),برند_وارداتی,3
گریس_نشدن_(عدم_چسبندگی),آشناییت_با_سرویسکار,2
گریس_نشدن_(عدم_چسبندگی),اصالت_روغن_موتور,1
برند_وارداتی,آشناییت_با_سرویسکار,2
آشناییت_با_سرویسکار,اصالت_روغن_موتور,3
برند_وارداتی,برند_ایرانی,35
برند_ایرانی,گریس_نشدن_(عدم_چسبندگی),12
روغن_موتور_اقتصادی,برند_ایرانی,25
برند_ایرانی,روغن_موتور_اقتصادی,46
نرم_و_روان_حرکت_کردن_موتور,شفافیت_روغن_موتور,2
روغن_موتور_پرمیوم,برند_ایرانی,6
قابلیت_طی_مسافت_بیشتر,روغن_موتور_اقتصادی,25
روغن_موتور_اقتصادی,روغن_موتور_پرمیوم,42
اعتماد_به_سرویسکار,گریس_نشدن_(عدم_چسبندگی),3
در_دسترس_بودن,برند_ایرانی,3
روغن_موتور_اقتصادی,اعتماد_به_سرویسکار,7
قابلیت_طی_مسافت_بیشتر,اعتماد_به_سرویسکار,4
قابلیت_طی_مسافت_بیشتر,سرویسکار_توصیه_شده,3
اعتماد_به_سرویسکار,قابلیت_طی_مسافت_بیشتر,4
اعتماد_به_سرویسکار,سرویسکار_توصیه_شده,2
گریس_نشدن_(عدم_چسبندگی),روغن_موتور_اقتصادی,5
روغن_موتور_اقتصادی,سرویسکار_توصیه_شده,7
سرویسکار_توصیه_شده,برند_ایرانی,9
روغن_موتور_اقتصادی,قابلیت_طی_مسافت_بیشتر,6
کم_نکردن,قابلیت_طی_مسافت_بیشتر,4
قابلیت_طی_مسافت_بیشتر,کم_نکردن,4
برند_ایرانی,نرم_و_روان_حرکت_کردن_موتور,9
سرویسکار_توصیه_شده,روغن_موتور_اقتصادی,14
گریس_نشدن_(عدم_چسبندگی),برند_ایرانی,8
روغن_موتور_پرمیوم,روغن_موتور_اقتصادی,27
شفافیت_روغن_موتور,کم_نکردن,5
روغن_موتور_پرمیوم,قابلیت_طی_مسافت_بیشتر,3
اعتماد_به_سرویسکار,آشناییت_با_سرویسکار,4
برند_وارداتی,برند_تحت_لیسانس,3
برند_وارداتی,روغن_موتور_اقتصادی,21
برند_تحت_لیسانس,روغن_موتور_اقتصادی,2
آشناییت_با_سرویسکار,سرویسکار_توصیه_شده,8
آشناییت_با_سرویسکار,اعتماد_به_سرویسکار,7
شفافیت_روغن_موتور,تبلیغات_,1
اصالت_روغن_موتور,روغن_موتور_اقتصادی,16
اصالت_روغن_موتور,برند_وارداتی,10
روغن_موتور_اقتصادی,برند_وارداتی,14
سرویسکار_توصیه_شده,قابلیت_طی_مسافت_بیشتر,7
برند_ایرانی,قابلیت_طی_مسافت_بیشتر,8
قابلیت_طی_مسافت_بیشتر,گریس_نشدن_(عدم_چسبندگی),7
برند_وارداتی,قابلیت_طی_مسافت_بیشتر,6
قابلیت_طی_مسافت_بیشتر,نرم_و_روان_حرکت_کردن_موتور,4
قابلیت_طی_مسافت_بیشتر,برند_وارداتی,5
قابلیت_طی_مسافت_بیشتر,اصالت_روغن_موتور,5
اصالت_روغن_موتور,برند_ایرانی,9
روغن_موتور_اقتصادی,اصالت_روغن_موتور,7
برند_ایرانی,شفافیت_روغن_موتور,2
شفافیت_روغن_موتور,اصالت_روغن_موتور,1
شفافیت_روغن_موتور,روغن_موتور_اقتصادی,7
کم_نکردن,نرم_و_روان_حرکت_کردن_موتور,6
کم_نکردن,روغن_موتور_اقتصادی,9
روغن_موتور_اقتصادی,کم_نکردن,8
استاندارد,روغن_موتور_اقتصادی,1
برند_وارداتی,در_دسترس_بودن,3
برند_ایرانی,در_دسترس_بودن,3
گریس_نشدن_(عدم_چسبندگی),نرم_و_روان_حرکت_کردن_موتور,4
برند_وارداتی,کم_نکردن,6
اعتماد_به_سرویسکار,روغن_موتور_اقتصادی,7
اصالت_روغن_موتور,در_دسترس_بودن,3
در_دسترس_بودن,برند_وارداتی,3
اصالت_روغن_موتور,سرویسکار_توصیه_شده,2
سرویسکار_توصیه_شده,اصالت_روغن_موتور,8
برند_ایرانی,روغن_موتور_پرمیوم,13
برند_وارداتی,روغن_موتور_پرمیوم,6
شفافیت_روغن_موتور,برند_ایرانی,3
طول_عمر_موتور,اصالت_روغن_موتور,1
سرویسکار_توصیه_شده,کم_نکردن,7
سرویسکار_توصیه_شده,شفافیت_روغن_موتور,1
کم_نکردن,شفافیت_روغن_موتور,5
برند_ایرانی,تبلیغات_,3
برند_ایرانی,کم_نکردن,7
خاصیت_ضدسایش,برند_وارداتی,1
خاصیت_ضدسایش,سرویسکار_توصیه_شده,1
برند_وارداتی,سرویسکار_توصیه_شده,6
نرم_و_روان_حرکت_کردن_موتور,گریس_نشدن_(عدم_چسبندگی),2
نرم_و_روان_حرکت_کردن_موتور,خاصیت_ضدسایش,1
گریس_نشدن_(عدم_چسبندگی),خاصیت_ضدسایش,1
برند_تحت_لیسانس,برند_وارداتی,2
برند_تحت_لیسانس,اصالت_روغن_موتور,1
اصالت_روغن_موتور,گریس_نشدن_(عدم_چسبندگی),6
شفافیت_روغن_موتور,آشناییت_با_سرویسکار,2
شفافیت_روغن_موتور,روغن_موتور_پرمیوم,1
قابلیت_طی_مسافت_بیشتر,برند_ایرانی,6
قابلیت_طی_مسافت_بیشتر,برند_تحت_لیسانس,2
برند_ایرانی,برند_تحت_لیسانس,4
برند_ایرانی,سرویسکار_توصیه_شده,6
برند_تحت_لیسانس,سرویسکار_توصیه_شده,2
روغن_موتور_پرمیوم,اصالت_روغن_موتور,3
روغن_موتور_پرمیوم,استاندارد,1
اصالت_روغن_موتور,استاندارد,6
طول_عمر_موتور,برند_وارداتی,1
طول_عمر_موتور,استاندارد,1
برند_وارداتی,استاندارد,2
نرم_و_روان_حرکت_کردن_موتور,روغن_موتور_اقتصادی,6
سرویسکار_توصیه_شده,برند_وارداتی,8
گریس_نشدن_(عدم_چسبندگی),در_دسترس_بودن,1
طول_عمر_موتور,قابلیت_طی_مسافت_بیشتر,2
اصالت_روغن_موتور,آشناییت_با_سرویسکار,2
آشناییت_با_سرویسکار,برند_وارداتی,6
آشناییت_با_سرویسکار,برند_ایرانی,2
نرم_و_روان_حرکت_کردن_موتور,کم_نکردن,3
روغن_موتور_اقتصادی,در_دسترس_بودن,5
برند_وارداتی,شفافیت_روغن_موتور,1
خاصیت_ضدسایش,برند_ایرانی,4
روغن_موتور_اقتصادی,طول_عمر_موتور,2
آشناییت_با_سرویسکار,روغن_موتور_پرمیوم,3
اصالت_روغن_موتور,اعتماد_به_سرویسکار,4
آشناییت_با_سرویسکار,قابلیت_طی_مسافت_بیشتر,2
روغن_موتور_اقتصادی,گریس_نشدن_(عدم_چسبندگی),2
سرویسکار_توصیه_شده,آشناییت_با_سرویسکار,7
قابلیت_طی_مسافت_بیشتر,آشناییت_با_سرویسکار,3
کم_نکردن,سرویسکار_توصیه_شده,6
کم_نکردن,روغن_موتور_پرمیوم,1
سرویسکار_توصیه_شده,روغن_موتور_پرمیوم,3
اعتماد_به_سرویسکار,برند_ایرانی,3
گریس_نشدن_(عدم_چسبندگی),شفافیت_روغن_موتور,3
آشناییت_با_سرویسکار,تبلیغات_,1
سرویسکار_توصیه_شده,استاندارد,4
برند_ایرانی,استاندارد,5
استاندارد,برند_ایرانی,2
نرم_و_روان_حرکت_کردن_موتور,روغن_موتور_پرمیوم,3
آشناییت_با_سرویسکار,گریس_نشدن_(عدم_چسبندگی),3
اعتماد_به_سرویسکار,نرم_و_روان_حرکت_کردن_موتور,1
سرویسکار_توصیه_شده,نرم_و_روان_حرکت_کردن_موتور,7
گریس_نشدن_(عدم_چسبندگی),طول_عمر_موتور,1
روغن_موتور_پرمیوم,برند_وارداتی,5
استاندارد,طول_عمر_موتور,1
روغن_موتور_اقتصادی,تخفیف_روی_خرید,4
تخفیف_روی_خرید,روغن_موتور_اقتصادی,5
تخفیف_روی_خرید,اصالت_روغن_موتور,3
استاندارد,کم_نکردن,2
استاندارد,سرویسکار_توصیه_شده,3
برند_وارداتی,گریس_نشدن_(عدم_چسبندگی),4
نرم_و_روان_حرکت_کردن_موتور,قابلیت_طی_مسافت_بیشتر,3
نرم_و_روان_حرکت_کردن_موتور,برند_ایرانی,2
گریس_نشدن_(عدم_چسبندگی),استاندارد,1
کم_نکردن,تبلیغات_,1
قابلیت_طی_مسافت_بیشتر,طول_عمر_موتور,2
برند_تحت_لیسانس,برند_ایرانی,1
شفافیت_روغن_موتور,استاندارد,1
شفافیت_روغن_موتور,برند_وارداتی,3
استاندارد,برند_وارداتی,2
اعتماد_به_سرویسکار,شفافیت_روغن_موتور,2
شفافیت_روغن_موتور,قابلیت_طی_مسافت_بیشتر,3
اصالت_روغن_موتور,نرم_و_روان_حرکت_کردن_موتور,2
قابلیت_طی_مسافت_بیشتر,در_دسترس_بودن,2
اعتماد_به_سرویسکار,روغن_موتور_پرمیوم,1
تبلیغات_,برند_ایرانی,1
استاندارد,قابلیت_طی_مسافت_بیشتر,2
کم_نکردن,آشناییت_با_سرویسکار,5
قابلیت_طی_مسافت_بیشتر,استاندارد,2
روغن_موتور_پرمیوم,در_دسترس_بودن,2
آشناییت_با_سرویسکار,روغن_موتور_اقتصادی,10
روغن_موتور_اقتصادی,آشناییت_با_سرویسکار,11
برند_ایرانی,تخفیف_روی_خرید,3
آشناییت_با_سرویسکار,تخفیف_روی_خرید,2
اصالت_روغن_موتور,قابلیت_طی_مسافت_بیشتر,2
تبلیغات_,برند_وارداتی,2
کم_نکردن,طول_عمر_موتور,1
استاندارد,تخفیف_روی_خرید,1
سرویسکار_توصیه_شده,تخفیف_روی_خرید,1
تبلیغات_,برند_تحت_لیسانس,1
گریس_نشدن_(عدم_چسبندگی),برند_تحت_لیسانس,1
گریس_نشدن_(عدم_چسبندگی),کم_نکردن,6
کم_نکردن,گریس_نشدن_(عدم_چسبندگی),3
استاندارد,اصالت_روغن_موتور,1
استاندارد,برند_تحت_لیسانس,2
اصالت_روغن_موتور,کم_نکردن,2
نرم_و_روان_حرکت_کردن_موتور,آشناییت_با_سرویسکار,3
روغن_موتور_پرمیوم,سرویسکار_توصیه_شده,3
اصالت_روغن_موتور,روغن_موتور_پرمیوم,1
برند_وارداتی,تبلیغات_,1
نرم_و_روان_حرکت_کردن_موتور,سرویسکار_توصیه_شده,3
روغن_موتور_اقتصادی,شفافیت_روغن_موتور,2
روغن_موتور_پرمیوم,اعتماد_به_سرویسکار,2
اعتماد_به_سرویسکار,برند_وارداتی,1
کم_نکردن,برند_ایرانی,2
کم_نکردن,برند_وارداتی,1
روغن_موتور_پرمیوم,شفافیت_روغن_موتور,2
نرم_و_روان_حرکت_کردن_موتور,برند_وارداتی,1
روغن_موتور_اقتصادی,نرم_و_روان_حرکت_کردن_موتور,1
اعتماد_به_سرویسکار,کم_نکردن,2
استاندارد,در_دسترس_بودن,1
در_دسترس_بودن,استاندارد,1
روغن_موتور_اقتصادی,تبلیغات_,1
تخفیف_روی_خرید,روغن_موتور_پرمیوم,1
تبلیغات_,روغن_موتور_اقتصادی,1
استاندارد,شفافیت_روغن_موتور,1
قابلیت_طی_مسافت_بیشتر,شفافیت_روغن_موتور,1
اعتماد_به_سرویسکار,استاندارد,1
در_دسترس_بودن,قابلیت_طی_مسافت_بیشتر,1
در_دسترس_بودن,روغن_موتور_اقتصادی,1
سرویسکار_توصیه_شده,برند_تحت_لیسانس,2
قابلیت_طی_مسافت_بیشتر,روغن_موتور_پرمیوم,2
آشناییت_با_سرویسکار,کم_نکردن,2
روغن_موتور_پرمیوم,آشناییت_با_سرویسکار,2
برند_تحت_لیسانس,استاندارد,1
شفافیت_روغن_موتور,اعتماد_به_سرویسکار,1
اصالت_روغن_موتور,شفافیت_روغن_موتور,1
شفافیت_روغن_موتور,سرویسکار_توصیه_شده,1
تخفیف_روی_خرید,شفافیت_روغن_موتور,1
آشناییت_با_سرویسکار,نرم_و_روان_حرکت_کردن_موتور,2
اصالت_روغن_موتور,برند_تحت_لیسانس,1
آشناییت_با_سرویسکار,شفافیت_روغن_موتور,1
شفافیت_روغن_موتور,گریس_نشدن_(عدم_چسبندگی),1
