Source,Target,Weight
تومن,هزینه,34
هزینه,تومن,31
تومن,گرون,22
گرون,تومن,18
بهران,تومن,15
کیلومتر,تومن,12
ايران,تقلبی,12
ایران,هزینه,11
هزینه,گرون,10
توتال,تومن,9
خارجی,ایران,9
ایران,تومن,9
کیلومتر,هزینه,9
کیلومتر,کارکرد,8
ایران,گرون,7
کارکرد,کیلومتر,7
تعمیرگاه,تومن,7
خارجی,تقلبی,6
ایران,واردات,6
تومن,ایران,6
خارج,ایران,6
تعمیرگاه,تعمیرکار,5
رنگ,تومن,5
واردات,ایران,5
ایران,خارجی,5
تومن,بهران,5
مکانیک,تومن,5
ارزون,گرون,5
ایران,پارس,5
تومن,تعمیرکار,5
اصل,هزینه,4
هزینه,زیاده,4
ایران,خارج,4
خارجی,گرون,4
تومن,ارزون,4
تعمیرکار,تعمیرگاه,4
هزینه,ایران,4
تخفیف,تومن,4
هزینه,کیلومتر,4
صدا,تومن,4
تقلبی,خارجی,4
پیشنهاد,بهران,4
اصل,تقلبی,4
یاتاقان,تومن,4
کیلومتر,یاتاقان,4
خارجی,تومن,4
ایران,ارزون,4
بهران,پارس,4
بهران,گرون,4
کاسترول,بهران,4
هزینه,گران,4
اصل,تومن,4
بهران,توتال,4
تومن,تعمیرگاه,4
هزینه,خارجی,4
بهران,اسپیدی,4
داخلی,ایران,3
توتال,ایران,3
مکانیک,تقلبی,3
تعمیرکار,تومن,3
دوستان,ایران,3
تعمیرکار,هزینه,3
هزینه,ارزان,3
گرون,هزینه,3
تعمیرگاه,آشنا,3
تخفیف,اصالت,3
گریس,نرم,3
داخلی,هزینه,3
ایران,یاتاقان,3
تقلبی,بهران,3
ایران,زیاده,3
بهران,ایران,3
خارجی,زیاده,3
مکانیک,صدا,3
توتال,اصل,3
تعمیرگاه,مکانیک,3
تقلبی,ایران,3
تقلبی,تومن,3
مکانیک,آشنا,3
تقلبی,استاندارد,3
یاتاقان,ثابت,3
تعمیرگاه,دوستان,3
خارجی,کارکرد,3
دوستان,هزینه,3
تقلبی,اعتماد,3
اصطکاک,داخلی,3
سایش,داخلی,3
اسپیدی,گریس,3
تعمیرگاه,خارجی,3
گریس,اسپیدی,3
تعمیرگاه,گرون,3
بهران,هزینه,3
صدا,نرم,3
پارس,سپاهان,3
سپاهان,اسپیدی,3
بهران,سپاهان,3
تقلبی,هزینه,3
داخلی,خارجی,3
هزینه,تعمیرگاه,3
ایران,توتال,3
بهران,خارجی,3
خارجی,هزینه,3
توتال,بهران,3
کیلومتر,تعمیرگاه,3
گرون,توتال,3
کارکرد,تومن,3
گریس,بهران,3
توصیه,هزینه,3
گران,هزینه,2
اقتصادی,ایران,2
هزینه,تخفیف,2
تقلبی,مکانیک,2
صدا,دوستان,2
10W40,موتوسل,2
گرون,خارجی,2
ارزون,هزینه,2
رنگ,خارجی,2
رنگ,داخلی,2
کاسترول,توصیه,2
پولدار,رنگ,2
ایران,پیشنهاد,2
توتال,تقلبی,2
توتال,خارجی,2
دوستان,پیشنهاد,2
هزینه,دوستان,2
هزینه,ارزون,2
اصل,گریس,2
رنگ,آشنا,2
ارزان,گران,2
مکانیک,تعمیرگاه,2
تومن,خارجی,2
تقلبی,یاتاقان,2
صدا,تعمیرگاه,2
ایران,فیک,2
کاسترول,پیشنهاد,2
آشنا,معتمد,2
هزینه,تعمیرکار,2
ايران,صدا,2
استاندارد,ایران,2
گرون,تعمیرکار,2
ایران,استاندارد,2
فیک,ایران,2
دوستان,استاندارد,2
مکانیک,مطمئن,2
کارکرد,ایران,2
زیاده,خارجی,2
واردات,خارجی,2
توصیه,توتال,2
گرون,بهران,2
ایران,کیلومتر,2
ارزان,هزینه,2
هزینه,مکانیک,2
تومن,توتال,2
مکانیک,گریس,2
ایران,داخلی,2
بهران,چسب,2
صدا,رنگ,2
داخلی,تومن,2
گران,ایران,2
تعمیرگاه,پیشنهاد,2
ارزون,پارس,2
تعمیرگاه,هزینه,2
گران,گرون,2
خارجی,کیلومتر,2
تبلیغات,تلویزیون,2
رنگ,کارکرد,2
هزینه,خارج,2
گران,تومن,2
مکانیک,هزینه,2
خارجی,داخلی,2
اسپیدی,تومن,2
کارکرد,داخلی,2
کیلومتر,توصیه,2
تعمیرگاه,صدا,2
هزینه,واردات,2
بهران,گریس,2
یاتاقان,هزینه,2
تومن,آشنا,2
تومن,پارس,2
بهران,تقلبی,2
ایران,تقلبی,2
گرون,ایران,2
تقلبی,تقلب,2
کاسترول,ایران,2
مکانیک,یاتاقان,2
تومن,تقلبی,2
مطمئن,ایران,2
مکانیک,ثابت,2
بهران,نرم,2
بهران,صدا,2
نرم,صدا,2
ایران,اصل,2
ارزون,تومن,2
اعتماد,تقلبی,2
دوستان,مطمئن,2
کیلومتر,تقلبی,2
هزینه,پارس,2
کارکرد,صدا,2
خارجی,فیک,2
توصیه,کارکرد,2
هزینه,گازوییل,2
مسافت,کارکرد,2
اصل,کاسترول,1
اصل,نرم,1
بهران,مطمئن,1
دوستان,توتال,1
تعمیرکار,ایران,1
sl,پیشنهاد,1
توصیه,تعمیرگاه,1
دوستان,یاتاقان,1
sl,تخفیف,1
اصل,خارج,1
پیشنهاد,تخفیف,1
تومن,رنگ,1
کاسترول,ماکت,1
ایران,اعتمادی,1
خارج,اعتمادی,1
دوستان,اصل,1
همیشگی,اسپیدی,1
دوستان,خارج,1
تومن,خارج,1
تومن,همیشگی,1
هزینه,بهران,1
سپاهان,تخفیف,1
ماکت,لیکومولی,1
استاندارد,اورجینال,1
فیک,تقلبی,1
پارس,تخفیف,1
بهران,ارزون,1
تومن,مکانیک,1
اسپیدی,ارزون,1
کیلومتر,چسب,1
اسپیدی,بهران,1
تومن,یاتاقان,1
مکانیک,اقتصادی,1
تعمیرکار,رنگ,1
مکانیک,تعمیرکار,1
مکانیک,خارجی,1
کیلومتر,صدا,1
مطمئن,تقلب,1
تعمیرکار,ارزون,1
نرم,گرون,1
ماکت,کاسترول,1
چسب,مکانیک,1
بهران,کیلومتر,1
ايران,بهران,1
گریس,لیکومولی,1
تعمیرگاه,تخفیف,1
اصل,گرون,1
گریس,کاسترول,1
گرون,پیشنهاد,1
تبلیغات,نکونام,1
چسبندگی,رنگ,1
لیکومولی,کاسترول,1
کاسترول,توتال,1
پارس,گرون,1
تومن,کیلومتر,1
تعمیرگاه,کیلومتر,1
ایران,اصالت,1
یاتاقان,مکانیک,1
صدا,هزینه,1
واردات,اقتصادی,1
ایران,موتوسل,1
ایران,10W40,1
گرون,آشنا,1
پارس,ارزون,1
کارکرد,خارجی,1
آشنا,تعمیرگاه,1
تومن,شناخت,1
رنگ,کیلومتر,1
پارس,کیلومتر,1
پارس,رنگ,1
خارجی,گران,1
کیلومتر,گران,1
کیلومتر,خارجی,1
کیلومتر,ایران,1
اعتماد,کیلومتر,1
لیکومولی,تومن,1
دوستان,تومن,1
دوستان,لیکومولی,1
اصل,فیک,1
پیشنهاد,فیک,1
پیشنهاد,اصل,1
هزینه,تبخیر,1
نرم,هزینه,1
