Post_link,Publish_date,Post_like,Caption,Hashtag,Comment_ID,Username,Datetime,Text,Reply_to
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",d2cfee5c4b198aa12cea22b8518e3d3ac862056b2cbbfcabbcc2de65c17e1889,tradersho.bourse,7/6/2022 18:48,👏👏,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",505acb6488de126422a5a65f2399e2d2195da9559259c18bf7c601ac8c61d3fa,saeidcopper,7/6/2022 21:09,سلام.از کجا میتونم بازدهی صندوق پیشتاز رو به تفکیک سال از ابتدا ببینم؟ممنون,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",9170ce112a7ff4fb0f99a9d223e9929e0cd88c13f1baec64774707328b85c481,zohre_mousaei,7/6/2022 19:25,سرمایه گذاری غیر مستقیم چیه,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",2c87f4cb2875bc936d58b2c309c8a0cf839c243eef840fd09939c5fb12ec3f80,m.gh72_,7/6/2022 18:50,در مورد تریدر حرفه ای و مزایاش میشه بگین,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",4750925f632ddde7ea34f1f1405ddc517237a71a136236bf6ed192fc99880ada,mahdi_rsoroush,7/6/2022 21:13,#سرمايه گزاري _غير مستقيم,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",d78bf3108655929300bf9150eada7708b5f6e22e7f796aa3e15ade984692f458,davood.malekiy,7/6/2022 21:10,"ضمن عرض خسته نباشید به همه شما دوستان ، من روش غیر مستقیم را چون واقعاً تیم مفید حرفه ای عمل می‌کنند.باتشکر",
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",c5b556931070c7a001d9b242eefb3cc862f4e287e1319e0f1a47c49881ef546a,m.gholamzadeh1855,7/6/2022 19:04,لطفا در خصوص سهام عیار و منفی مکرر توضیح دهید,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",71159057341807c796e89e759204777ae6fbb35ebaf215f7e79ab25e0e4998d1,rezabayati933297,7/6/2022 19:07,من توی دایرکت ازتون سوال پرسیدم در مورد اینکه دوسال پیش پنج میلیون سهام دولتی خریدم و الان هیچ اطلاعی از وضعیتش ندارم شما جواب ندادید !!,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",a154c32a3fec81f59c9ba8e0d0be20e854550bc2a958fab5945c22b04a1326d1,davood_1960,7/6/2022 19:46,سرمایه‌گذاری غیر مستقیم و در صندوق ها مناسب به نظر می رسد.,
https://www.instagram.com/p/CfrH5BpItZ5/,7/6/2022 18:44,"4,290","اگر قصد سرمایه‌گذاری در بورس را داشته باشید، ترجیح می‌دهید خودتان در بازار خرید و فروش کنید (سرمایه‌گذاری مستقیم) یا در صندوق‌ها سرمایه‌گذاری کنید (سرمایه‌گذاری غیر مستقیم)؟ چرا؟

✍️ پاسخ خودتان را زیر همین پست کامنت کنید.

#سرمایه_گذاری #سرمایه_گذاری_موفق #بورس #بورس_تهران #بورس_ایران #بورس_اوراق_بهادار #صندوق_سرمایه_گذاری","['#سرمایه_گذاری', '#سرمایه_گذاری_موفق', '#بورس', '#بورس_تهران', '#بورس_ایران', '#بورس_اوراق_بهادار', '#صندوق_سرمایه_گذاری']",66073076a5ecf99b5178663549ea32c918bfa24fd419e7fd6deb4ee78f30b6a3,meisamrahimia,7/6/2022 19:30,صندوق های سرمایه گذاری مفید بهترین ها جهت سرمایه گذاری غیر مستقیم هستند. دمتون گرم من که بسیار راضی هستم از سرمایه گذاری در صندوق سهامی در مفید..,
