,Tweet_ID,Username,User_ID,DateTime,Text,Reply_to,Hashtag,Reply,Retweet,Like
0,0daf7ed569ab6fa659ee68ad1c9a4afefb1576e3b05012628ecf4d14d6124091,علی علی‌مرادی,@alialimoradi672,2022-07-26 21:19:48,یکی دیگر هم در چال تعویض روغنی همین را می‌خواند و احتمالاً فردا هذا من فضل ربی را :)),['@Abualibina'],,,,1
1,3a3df69b4e0ca11074ca3484ea4388afb8c31c23725d7c108c5019b61e3d94ac,nadia,@nadeyatsyaa,2022-07-26 20:25:46,چون دلم نمیخواست به کسی رو بندازم کمکم کنه تنهایی اومدم تعویض روغنی ...,,,10,,33
2,77809e7760c8945e8ff6298a1edbf017508227a88bba52cb2f835be9dd2d9bb9,Hadi.YaLin,@hadiyalin,2022-07-26 16:02:44,منم معمولا زیاد درمیاوردم. راستی سهند هم خوبه روبروی خیابون ارتش تو کمربندی هست. در واقع بین حافظ و ارتش. نزدیک یه تعویض روغنی اینا هست خیلی دیده نمیشه از بیرون.,['@Faraanak'],,1,,
3,9de6b63538c9d2f18959efc12e302845f9975ea39a2c18f5f953efe0287af782,سیروس,@siroosthegreat,2022-07-25 21:09:00,"مراغه شهر عجیبیه، مغازه‌ها با اسم و فامیل عه.

لوازم یدکی اردشیر اتابکی
تعویض روغنی محمود محمدفام",,,1,,4
4,b34ea679c3eeb893ce6d6ef0cddb0979643875458974edabc360d105978feaca,Rip,@Dkleinemaulwurf,2022-07-25 20:14:37,مکانیکی زمان بره . من پیشنهادم تعویض روغنی هست .,['@ayne_e_ebrat'],,1,,1
5,f867ec63e291e03aae0aa54c0e1910862cf89e59b9f25fb67eede023998beef4,johnny guitar,@alireza36419595,2022-07-25 16:35:43,ازش بپرس راست میگن که قبلا تو خارک تعویض روغنی داشه؟جان من بپرس وقتی اینا رفتن قول میدم یه ریرزمین دنج بهت بدم توش قایم شی,"['@sabeti_twt', '@RostamGhasemi']",,,,
6,f369f976a48e35d3b41f9fe6bd01c0928ed0224353be1c38b6da8495a00e968d,سیف هستم.,@Iman43443797,2022-07-25 16:13:30,"فکت : پسری که تعویض روغنی دار هر روز برات روغن سوخته میاره
#کسشعر_تر_از_کسشعر",['@Atoofian'],['#کسشعر_تر_از_کسشعر'],,,
7,b18c2f5fdb080269fef965700c46f82f8dc5d4d93cdb6c2661b564bef799df94,Reza Hesan,@HesanReza,2022-07-25 14:06:54,"چرا تعویض روغنیها روغن موتور ایرانی ندارن؟ چند تا تعویض روغنی رفتم روغن بهران نداشتن. در عوض تا دلت بخواهد مارکهای خارجی با بسته بندی های جذاب. مشکل قیمت بالای آنها به کنار، متاسفانه نمیشه اعتماد کرد که تقلبی هستند یا نه
چرا اینجوری شده این بازار؟ کسی خبر داره؟ تولید داخل نداریم؟",,,2,,3
8,766f659f84a1c90a4374b54a8c024a67fe3e7232bf85d88943cc9bde416df7ca,بایپولار,@_biipolaar_,2022-07-25 12:21:16,"۲/ شیش میلیون تومن، و من حاضر نیستم ماهی شیش میلیون تومن حق مکانیک رو بخورم؛ 
چند دقیقه ساکت شدم و نتونستم حتی بهش بگم دمت گرم؛ 
آره رفیق، از کارگر تعویض روغنی هم میشه درس زندگی گرفت.",,,2,6,116
9,319400e3aee06784396f8633c051f67df1524acf5ff98e6b093d2802a2a8b80b,مسود :|,@rnasoud76,2022-07-25 10:05:39,"کسی اینجا خودش مغازه مکانیکی یا تعویض روغنی داره؟
چن تا سوال داشتم
خواهشا #ریت کنید پیدا کنم :)",,['#ریت'],2,9,28
10,58515a633128464508d99f205af0ed32f0f0283acb2bc75fed01f1b427ff3012,سیـــٌـــد!,@userofhere,2022-07-25 00:09:07,چون که تعویض روغنی پوشتیش به ماست,['@amirahmadirad'],,,,1
11,d6a184859afacafdf6df1ea5c48aad8f399b04e52d1e8ccb50e0bd62fcaaad06,minamoon,@mina_moonn,2022-07-24 21:03:36,"رفتم مگنوم خریدم! لعنتی اخرین باری که خریده بودم ۶ ت بود ک
روغن ماشینم عوض کردم و یک روز بسیار مفید سپری کردم!
اونقدر تعویض روغنیِ تمیز و فراخ بود که تونستم برای اولین بار وایسم کل کاری که انجام می دن تماشا کنم ",,,6,1,29
12,f7d36e4370f265a0500fd65048b125ae9534bcd7bcc2b8daa68a157d262fde72,The Mechanic,@Amirhossein_amg,2022-07-24 18:46:44,تقریبا مطمئنم که عبدالله از تعویض روغنی سر فرحزاد رو بیارن تو‌ تیم فراری بهتر ازین استراتژی میچینه,,,2,1,26
13,97aaf04a48c4be71f53a8c4337b67798fb4ca50b9a63ca92bdf25d202972b54b,Amir ali,@yazooka30,2022-07-24 17:10:46,امروز ناچار شدم یه تعویض روغنی سر راه برم آخرسر رفتم یه جایی که ظاهرش هم خوب نبود بماند که چقدر با حوصله توضیح داد چه روغنی مناسبه و من تا الان اشتباه میخریدم مشاوره ای بهم داد که خیلی خوب بود کلی هم چیز یاد گرفتم ازش آخرم ۶تا عطر جلوم گذاشت گفت نترس بیهوشی توش نیست,,,1,,4
14,e93ac09d7236104d49f3be1829417572d1efd19b7cae211daac3ea4cec1ebfa6,سید کاکتوس,@sasan_salehi_,2022-07-24 17:02:22,تعویض روغنی مکانیکی,['@amin__2481'],,1,,
15,e119010e126c36942e35eaafa16614d75e16abeb3afc32d200f32d6e0a7dd5fd,matin,@mattinvazeytun,2022-07-24 15:20:50,این دختره یجوری برونز کرده که از تمساح هم گذشته،به حد تعویض روغنی رسیده,,,1,,13
16,0b132d66dc85edf9d848717912e48ad2b49acd0454e0a30787b44d35f7e03b42,Arqavan,@Arghavan_Sal,2022-07-24 12:12:53,"با توجه به عوارض جاده و شهرداری و جریمه و تعویض روغنی و مخارج ماشین و ....
امروز به نتیجه رسیدیم اسنپ خیلی به صرفه تره :))))",,,4,,36
17,b8223f4ac2d739772536c3883227d2dde309402bb52b2cee4370c2ca14473f9d,•علیشرف•,@rostamam,2022-07-23 21:04:03,"شهروند گرامی تورو خدا اگه از فرنگی عمومی استفاده میکنی آب بکش اون لعنتی رو
اومدم برم دستشویی سیاه بود لبه هاش
مگه باسنتون رو میبرید تعویض روغنی؟",,,,,4
18,01fbbb05479a32415b2139280fb09161b8555ad2f178576d91cb6a3185d3482e,minamoon,@mina_moonn,2022-07-22 23:47:00,"هعی!
جایی نمیرم باهاش!اغلب خوابه!
حالا ی تعویض روغنی پیدا کردم روستای بغلی!حوصلم بکشه ببرم!
اولین باره اینطور میشه",['@Green_H001'],,1,,1
19,ec49800eb3879e46feddc49281a690b0f62c01a5b3f21adc456e0ba333f6c349,Amir,@Am1r_Mousav1,2022-07-22 16:59:36,تعداد آهنگای لری ای که توشون تعویض روغنی سر کوچه یا پدر داماد رو شاباش نکرده باشن انگشت شماره,,,3,,13
20,98511071ec9fa35bb68143c9d64556f8cb39e10b3b0ceaf2319888aa461493b2,ᏗᎷᎥᏒ_ᏂᏕᎩᏁ_ᎮᏒᎷᏗᏂ/,@amir_hsyn_prmah,2022-07-22 10:46:54,"تو بازار میوه ماهرم (خرید و فروش میوه روی درخت، میدان تره بار، روی زمین، سردخونه،...)
پنچر گیری و تعویض روغنی فول بلدم
جوشکاری
مکانیکی و تراشکاری یکم بلدم
کشاورزی",['@malihe_am'],,,,
21,e3b41fd0386db729ab819884b314c951a442469754394356cf72da108e7cfd2a,Assyrian Banipal,@AssyrianBanipa,2022-07-22 04:01:01,"بیمه 
کارواش
تعویض روغنی 
.
.
.نه نه نه 
تو یه الاف خیابون گردی",['@Amiirjf'],,,,
