,Tweet_ID,Username,User_ID,DateTime,Text,Reply_to,Hashtag,Reply,Retweet,Like
0,dce7c20ec67cbfacfad09168ed829a88bbbc51ac4fa38a0653906208676bbc53,,@samuiheo,2022-07-26 23:24:42,روغن مخصوص ماشین,['@meitiine'],,,,
1,b4bc26c8595be83bd0e012380573623601338cab449eda777cd7b0ab326a1b2f,star,@raporst,2022-07-26 23:21:23,بسیار عالی. کاش همه یاد بگیرن و کیسه یکبارمصرف استفاده نکنند. من بیش از پنج ساله این روش رو دارم و خیلی هم راحته. برای مواد پروتیینی و حاوی روغن عالیه توی ماشین ظرفشویی شسته میشه. برای سبزیجاتی مثل نخود فرنگی هم زیپ کیپ خوبه خیلی سریع با آب شسته میشه و کنار میذاری برای مصارف بعدی,"['@zeinabmhm159', '@behrang_sohrabi']",,1,,2
2,f779e49e95cee1364384b444bccd083e6a84f1a680f4376203bde381979349ea,Behrooz Shojaei,@behrouzshojaei,2022-07-26 20:43:01,ماشین یک کار کوچک داشت رفتم مکانیکی آقای همسایه، تویوتایی را نشانم داد که موتورش بیش از صد میلیون تومان هزینه برداشته، دلیل؟ #روغن_تقلبی ! بله عزیزان هموطن دزد و کلاهبردار هم کم نداریم!,,['#روغن_تقلبی'],,,10
3,9ca85ffb0f967d23cad689476453df68c8c67bf3d64b948bbf7d69d6c8deba95,گربه ای به نام پسته,@PistachioA,2022-07-26 20:40:24,"به به آقای بنجورنوچه طوری کم پیدایی 
همکار جدید ایشون 
دنبال روغن ماشین لندکروز ۲۰۲۲ میگشتی توکلیپ یوتیوپ روغن تک تاز موتور بریز خوبه ",['@Navid_Nexolas'],,1,,1
4,b66db272d57dc6a703e0d1d999bb2f1ccb445d6f72c64d85eca9b8a8571d3dab,Mohammad Keshvari,@Abualibina,2022-07-26 20:07:20,"یا نور المستوحشین فی الظُلَم.
[ذکر در حال رفتن برای تعویض روغن ماشین]",,,4,1,148
5,5f4376ccbdbdc21ded268c5cf9591d9a292fe56301946b9252289f68e98aacfb,Hamed Arzemani,@hamedarzemani,2022-07-26 17:53:47,همینجوری بمونه احتمالا سوپاپ کج کنه چون روغن تو ماشین در گردش نبوده. بهتره درستش کنی و روزی یه دور بزنی,['@FarKamvar'],,1,,1
6,01632c7c3f03ba18392e367e77eeb972538255e761ef91b460247cbd74043975,masoud feshki,@feshkimasoud,2022-07-26 12:23:44,"ماشین اصلاح موی سر و صورت وی جی آر  کد V290
دارای نمایشگر دیجیتال بوده که میزان شارژ دستگاه و قابلیت نیاز بودن به روغن را نشان می‌دهد، قابلیت دو سرعته شدن را دارد و قابلیت استفاده همزمان با شارژ و برق را دارد و دارای ۳ عدد شانه ۱ و ۲ و ۳ می باشد.

…",,,,,
7,a7e163d991caaf60676aadc853b5493b5ca8a7370c6a2162f5073bc5939250de,گارسینیا کامبوجیا,@garcinia8068,2022-07-25 15:29:46,"سال ۹۳ یه پرشیا tu5 خریدم بعد ۳۰۰۰ کیلومتر واشر در سوپاپش روغن داد!  رفتم نمایندگی ماشین رو نگاه کرد گفت چون ارتفاع کم کردی گارانتی باطله از اون روز به بعد واسه هیچ گارانتی به نمایندگی مراجعه نکردم! 
جدیدا شنیدم کفی ۳ بعدی هم گارانتی رو باطل میکنه",,,,,3
8,70704cf150569ac8598e99c3d5753d5ec47ccd9f4dd26e67f221718c03f3a0df,بایپولار,@_biipolaar_,2022-07-25 12:21:15,"۱/امروز صبح رفتم تعویض روغن ماشین؛
پرسید چی‌کار داری؟ گفتم بی‌زحمت روغن و فیلترها و صافی بنزین رو عوض کن؛
گفت صافی عوض نمی‌کنم؛ گفتم جایی که همیشه می‌برم عوض میکنه؛ گفت این کار مکانیکه نه تعویض روغنی؛
گفتم خب اجرتش رو می‌گیری، خوبه که!
گفت من روزی ده تا که عوض کنم می‌شه ماهی...",,,9,20,147
9,5c33e840d1b3c2a4a89481f15d9977169d5546f7c5c9f4f6fbba158edd0847ec,جاوید رضایی,@javid__rezaei,2022-07-25 11:47:00,"کولر ابی اصول خاصی داره
تسمه نباید سفت باشه، یعنی وقتی تسمه رو سوار میکنی دو طرف تسمه رو که فشار بدی به راحتی باید بهم نزدیک بشن تا فاصله دو انگشت
پولی بالا و پایین تو یه راستا باشن
یاتاقان ها رو روغن ماشین بریز توشون",['@Rapsody62'],,1,,1
